Year,DOY,Species,Fgroup,Cond_night,Trmmol_night,Photo,Cond_day,Trmmol_day,Percent_cond,Percent_trmmol,PD,MD,Soil_moisture,TAIR_N,VPD_N,TAIR_D,VPD_D,
2014,217,CD,woody,0.014069518,0.384712432,12.21625598,0.157853207,4.086434069,8.913039085,9.414380008,-1.25,-2.85,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,CD,woody,0.012185574,0.303042979,8.333607053,0.091527858,2.881194293,13.31351413,10.51796402,-1.25,-2.1,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,CD,woody,0.009700409,0.247020016,8.6074729,0.108076577,4.167130428,8.975495719,5.927820604,-1.5,-2.6,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,SC,forb,0.010236904,0.281804035,4.845608459,0.060571512,1.68788688,16.90052556,16.6956707,-0.6,-2.8,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,SC,forb,0.009525613,0.266544556,4.016027652,0.035428586,1.216422376,26.88679883,21.91217138,-0.5,-2.6,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,SC,forb,0.011651485,0.310618959,2.75925095,0.020086518,0.884782144,58.00649508,35.10682948,-0.7,-2.2,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,SN,grass,0,0,11.04678784,0.066784771,2.698583735,0,0,,-1.55,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,SN,grass,0,0,20.63845462,0.114208484,5.026147938,0,0,-0.3,-1.5,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,SN,grass,0.010247866,0.252523346,18.44213105,0.093709599,5.016625658,10.93576997,5.033729105,-0.4,-1.5,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,VB,forb,0.01718626,0.461694916,6.390324468,0.176764352,6.975777834,5.362376506,4.431671369,-0.6,-1.6,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,VB,forb,0.016735999,0.451593623,5.544638775,0.094565688,4.005014173,17.69775047,11.27570598,-1.1,-1.6,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,VB,forb,0.013955734,0.328060174,5.178819617,0.063651101,3.139829608,42.49880365,19.75098303,-0.9,-2.3,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,AC,woody,0,0,12.28108591,0.134766104,3.055955914,0,0,-0.7,-2.7,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,AC,woody,0.008156116,0.207655593,12.87791934,0.139765076,5.672206135,5.835589156,3.660931704,-1.2,-1.85,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,AC,woody,0.006412111,0.159381053,11.27692078,0.111548238,4.299604433,5.748285459,3.706877124,-1.15,-2.95,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,PV,grass,0,0,10.35753125,0.048270063,1.976215281,0,0,-1.45,-1.7,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,PV,grass,0.001700466,0.04612813,14.00291967,0.064862594,2.881608595,2.62164392,1.600777091,-1.3,-1.95,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,PV,grass,0,0,6.563013237,0.034565428,1.653858387,0,0,-0.75,-2.1,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,RG,woody,0.00597114,0.154776958,9.406403986,0.096961533,2.753433375,3.899267783,3.858647074,-1.5,-2,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,RG,woody,0.005423573,0.135255403,16.71764184,0.203425241,6.924398928,2.666125692,1.953316155,-1.3,-2.1,0.07,25.4,1.339912109,26.55,2.108545172,
2014,217,RG,woody,0.003277847,0.083999755,15.19133433,0.182096467,6.302261692,1.800060572,1.33285095,-1.4,-2.05,0.07,25.4,1.339912109,26.55,2.108545172,
2014,231,AG,grass,0.004621943,0.112863905,20.14351985,0.146077901,4.740872386,3.164026051,2.380656878,-2.1,-3.35,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,AG,grass,0.003830233,0.09126831,22.97849438,0.210050684,7.349546369,1.823480142,1.241822361,-0.6,-2.55,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,AG,grass,0.003031338,0.071089852,16.75498139,0.085994624,4.161551538,3.525031532,1.70825356,-1.2,-2,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,CD,woody,0.005861937,0.151673722,8.309687039,0.088761927,3.842394892,6.604112442,3.947374652,-1.8,-2.4,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,CD,woody,0.009528793,0.230205209,9.037613163,0.10062329,4.128935725,9.469768692,5.575412749,-1.7,-2.25,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,CD,woody,0.001477035,0.035210413,9.986822184,0.117030685,5.013777594,1.26209192,0.702273126,-1.35,-2.35,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,SC,forb,0.018742581,0.457188655,3.88898924,0.049933168,2.326295417,37.53533378,19.65307808,-1.9,-2.7,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,SC,forb,0.018179999,0.434153166,1.820230878,0.032181072,1.560735729,56.49283134,27.81721195,-1.6,-1.8,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,SC,forb,0.012608291,0.301253609,2.311351422,0.024372057,1.27289997,51.73256866,23.66671507,-1,-2.6,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,SN,grass,0,0,9.776811302,0.114731429,3.174241646,0,0,-1.15,-2.4,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,SN,grass,0,0,25.2050613,0.148540826,6.623950978,0,0,-1.3,-2.5,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,SN,grass,0.007625803,0.172780308,19.6335106,0.112619848,5.637453172,6.771277933,3.064864617,-1.35,-3,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,VB,forb,0.04837381,1.196081421,14.03666353,0.200383075,6.626595531,24.14066647,18.04971218,-2.1,-2.15,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,VB,forb,0.026193038,0.54221801,5.476472689,0.144632383,6.303178432,18.11007807,8.602295111,-1.4,-2.05,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,VB,forb,0.022064863,0.480796214,3.130334786,0.051103706,2.711706669,43.17664019,17.73039168,-1.95,-1.95,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,AC,woody,0.010149585,0.264637889,9.472725639,0.16211378,4.527695082,6.260778522,5.844869942,-1.65,-2.95,0.074,26.59,1.244768564,28.97,1.576527008,
